sampleId	popId	site	country	region	groupLabel	groupAge	flag	shapeA	colorA	latitude	longitude	callset	dataSource	age14C	ageHigh	ageLow	ageAverage	datingSource	coverage	sex	hgMT	gpAvg	ageRaw	clusterId	clusterIBDGlobal	clusterIBDFine
NA19119	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19121	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19129	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19130	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19131	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19137	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19138	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19141	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19143	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19144	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19146	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19147	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19149	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19152	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19153	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19159	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19160	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19171	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19172	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19175	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19184	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19185	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19189	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19190	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19197	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19198	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19200	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19201	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19204	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19206	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19207	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19209	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19210	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19213	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19214	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19222	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19223	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19225	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19235	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19236	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19238	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19239	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19247	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
NA19248	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19256	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
NA19257	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG02922	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG02923	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02938	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02941	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02943	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG02944	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02946	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG02947	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02952	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG02953	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02968	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02970	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG02971	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02973	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02974	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG02976	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG02977	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG02981	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03099	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG03100	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03103	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03105	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG03108	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG03109	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03111	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG03112	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03114	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG03115	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03117	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG03118	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03120	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03121	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG03123	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
HG03124	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	NA	NA
HG03126	ESN	NA	Nigeria	WestAfrica	ESN	Modern	0	1	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	NA	NA
